nl	en	de	fr	es	cs	hu	pl	sk	it
Internet:	Internet:	Internet:	Internet:	Internet:	Internet:	Internet:	Internet:	Internet:	Internet:
item in uw winkelwagen.	item in your shoppingbag	Artikel in Ihrem Warenkorb	Eléments dans votre Caddie	artículo en su shoppingbag	položka v nákupním košíku.	tétel a bevásárlókocsiban.	element w koszyku.	položka v nákupnom košíku.	articolo nel vostro carrello.
Item:	Item:	Item:	Article:	Ít:	Položka:	Tétel:	Element:	Položka:	Articolo:
items in uw winkelwagen.	items in your shoppingbag	Artikel in Ihrem Warenkorb	Eléments dans votre Caddie	artículos en su shoppingbag	položky v nákupním košíku.	tétel a bevásárlókocsiban.	elementów w koszyku.	položiek v nákupnom košíku.	articoli nel vostro carrello.
Ja	Yes	Ja	Oui	Sí	Ano	Igen	tak	Áno	sì
Jaar	Year	Jahr	Année	Año	Rok	Év	Rok	rok	Anno
Jaarverbruik:	Yearly used amount:	Jahresverbrauch:	Consommation annuelle:	Anual cantidad utilizada:	Roční množství použité:	Éves fogyasztás:	Roczne wykorzystanej kwoty:	Ročné množstvo použitej:	Consumo annuo:
Kaartnummer:	Cardnumber:	Kartennummer:	N° de carte	Número de tarjeta:	Číslo karty:	Kártyaszám:	Nr karty:	Číslo karty:	Numero carta:
karakters	characters	Charakter	caractères	caracteres	postavy	karakterek	postacie	znaky	personaggi
Keuze	Choice	Wahl	Menu	Elección	Výběr	Választás	Wybór	Výber	Scelta
Kleur	Color	Farbe	Couleur	Color	Barva	Szín	Kolor	farba	Colore
Kleur:	Color:	Farbe:	Couleur:	Color:	Barva:	Szín:	Kolor:	farba:	Colore:
Kleuren binnenwerk:	Colors body:	Farben - Inhalt:	Couleurs intérieur:	Colores cuerpo:	Barvy tělo:	Színek szerv:	Kolory nadwozia:	Farby telo:	Colori del corpo:
Kleuren omslag:	Colors cover:	Farben - Umschlag:	Couleurs couverture:	Colores cubierta:	Barvy zahrnují:	Színek terjed ki:	Kolory obejmować:	Farby zahŕňajú:	Colori riguardano:
Kleuren:	Colors:	Farben:	Couleurs:	Colores:	Barvy:	Színek:	Kolory:	Farby:	Colori:
Kopie	Copy	Kopie	Copie	Dupdo	Kopírovat	Másolat	Kopiuj	kópie	Copia
Land:	Country:	Land:	Pays:	País:	Zem?:	Ország:	Kraj:	Krajina:	Paese:
Layout:	Layout:	Layout:	Lay-out:	Diseño:	Uspo?ádání:	Elrendezés:	Szablon:	Vyobrazenie:	Impaginazione:
Layoutgegevens	Layoutdetails	Layoutdaten	Données de layout	Layoutdetails	Data uspo?ádání	Elrendezés adatai	Dane do szablonu	Údaje vyobrazenia	Dati impaginazione:
Lettertype's:	Fonts:	Schriftarten:	Polices:	Fuentes:	Fonty:	Betűtípusok:	Czcionki:	Typy písma:	Polizza di caratteri:
Leverdatum	Delivery date	Lieferdatum	Date de livraison	Fecha de entrega	Datum dodání	Kiszállítási dátum	Data dostawy	Dátum dodania	Data di consegna
Leverdatum:	Delivery date:	Lieferdatum:	Date de livraison:	Fecha de entrega:	Datum dodání:	Kiszállítási dátum:	Data dostawy:	Dátum dodania:	Data di consegna:
Liggend	Portrait	Querformat	Oblong	Retrato	Portrét	portré	Portret	portrét	Ritratto
Looprichting:	Grain direction:	Laufrichtung:	Sens de coulée:	Dirección de la fibra:	Sm?r chodu:	Haladási irány:	Kierunek:	Smer:	Direzione di macchina:
LR	Gr	Ir	Sc	SF	LR	HI	LP	LR	LR
LR:	GR:	LR:	SC:	SF:	LR:	HI:	LP:	LR:	LR:
Maak uw keuze...	Make your choice...	Wählen Sie...	Faites votre choix...	Haga su elección ...	Vyberte si...	Válasszon...	Wybierz...	Vyberte si...	Selezionate la vostra opzione...
Maak uw keuze:	Make your choice:	Wählen Sie:	Faites votre choix:	Haga su elección:	Vyberte si:	Válasszon:	Wybierz:	Vyberte si:	Selezionate la vostra opzione:
Machtiging	Authorization	Vorauskasse	Autorisation	Autorización	Povolení	Meghatalmazás	Upowa?nienie	Povolenie	Delega
Magenta	Magenta	Magenta	Magenta	Magenta	Purpurová	Lila	Magenta	Purpurová	Magenta
Management	Management	Management	Management	administración	Řízení	vezetés	Zarządzanie	management	Gestione
Materiaal binnenwerk:	Material body:	Material Inhalt:	Matérial intérieur:	Material del cuerpo:	Materiál těla:	Anyagi test:	Materia? wewn?trz:	Materiál výplne:	Materiale corpo:
Materiaal omslag:	Material cover:	Material Umschlag:	Matérial couverture:	Material de la cubierta:	Krycí materiál:	Anyag borítása:	Materia? ok?adki:	Materiál obalu:	Materiale copertina:
Materiaal:	Material:	Material:	Matérial:	Material:	Materiál:	Anyag:	Materia?:	Materiál:	Materiale:
Maximaal aantal bestanden is	Maximum number of files is	Maximale Anzahl von Dateien ist	Le nombre maximal de fichiers est	Número máximo de archivos es	Maximální počet souborů	A fájlok maximális száma a	Maksymalna liczba plików jest	Maximálny počet súborov	Numero massimo di file è
Maximaal bestellen:	Maximum amount:	Max zu bestellen:	Commande maximale:	Cantidad maxima:	Maximální částka:	Maximális rendelés mennyisége:	Maksymalna kwota pomocy:	Maximálna objednávka:	Prenotazioni massime:
Medewerker:	Employee:	Mitarbeiter:	Employé:	Empleado:	Spolupracovník:	Munkatárs:	Pracownik:	Pracovník:	Collaboratore:
Met vriendelijke groet,	Greetings,	Viele Grüße	Meilleures salutations,	Saludos,	Posílám pozdrav,	Üdvözlet,	Pozdrowienia,	Zdravím,	Saluti,
Minimaal	Minimal	Minimal	Minimal	Mínimo	Minimální	Minimális	Minimalny	Minimálny	Minimo
Minimaal bestellen:	Minimum amount:	Mindes zu bestellen:	Commande minimal:	Monto minimo:	Objednat minimáln?:	Minimális rendelés mennyisége:	Stawka minimalna:	Minimálna objednávka:	Prenotazioni minime:
Minimaal:	Minimum:	Minimal:	Minimal:	Mínimo:	Minimální:	Minimális:	Minimalnie:	Minimálne:	Minimo:
Minimale voorraad:	Minimum stock:	Mindestvorrat:	Stock minimal:	Stock mínimo:	Minimální zásoby:	Minimális raktárkészlet:	Minimalny zapas:	Minimálna zásoba:	Quantità magazzino minima:
Mobiel:	Mobile:	Mobil:	GSM:	Móvil:	Mobilní telefon:	Mobiltelefon:	Tel. komórkowy:	Mobil:	Cellulare:
MultiPress internet module	MultiPress internet modul	MultiPress Internetmodul	MultiPress Module Web	MultiPress Modul internet	internetový modul MultiPress	MultiPress internet modul	MultiPress www modul	Webový modul MultiPress	Modulo internet MultiPress
Naam:	Name:	Name:	Nom:	Nombre:	Jméno:	Név:	Nazwa:	Meno:	Nome:
Nee	No	Nein	Non	No	Ne	Nem	Nie	nie	No
Nieuw	New	Neu	Nouveau	Nuevo	Nový	Új	Nowy	Nový	Nuovo
Nieuwe offerte	New quotation	Neue Angebote	Nouveau offre	nueva cita	Nová cenová nabídka	új idézet	Nowy cytat	Nová cenová ponuka	nuova offerta
Nieuwe order	New job	Neue Aufträge	Nouveau job	Nuevo trabajo	Nová objednávka	Új megrendelés	Nowe zlecenie	Nová objednávka	Nuovo ordine
Notities:	Notes:	Berichten:	Notes:	notas:	Poznámky:	Megjegyzések:	Notatki:	Poznámky:	Note:
Nummer	Number	Nummer	Numéro	Número	Číslo	Szám	Numer	číslo	Numero
Offerte	Quotation	Angebot	Devis	Cotización	Citát	Idézet	Cytat	citát	Quotazione
Offerte bij	Quotation from	Angebote von	Calcul de	cita de	citace z	idézet	cytat z	citácie z	citazione da
Offerte status historie	Quotation status history	Angebote Status Historie	Statut histoire d'offre	historial de estado de cotización	Historie status citát	Idézet állapotelőzményeit	Historia stanu cytat	História status citát	la storia dello stato Quotazione
Offertedatum:	Quotationdate:	Angebotsdatum:	Date d'offre:	Quotationdate:	Quotationdate:	Quotationdate:	Quotationdate:	Quotationdate:	Quotationdate:
Offertenr.	Quotationnr.	Angebotsnr.	N° d'offre	Quotationnr.	Quotationnr.	Árajánlat sz.	Nr oferty	Quotationnr.	Nr. offerta
Offertenummer:	Quotationnumber:	Angebotsnr.:	Numéro d'offre:	Quotationnumber:	Quotationnumber:	Árajánlat száma:	Numer oferty:	Quotationnumber:	Numero dell'offerta:
Offertes	Quotations	Angebote	Calculs	citas	Nabídky	Árajánlatok	Oferty	Ponuky	Offerte
om een bedrag van	to redraw an amount of	ein Bettag von	pour un montant de	para volver a dibujar una cantidad de	překreslení částku	összeg:	przerysować kwotę	suma	per un importo di
om uw digitaal document te openen en te controleren.	to open and check your digital document.	und überprüfen Ihr digitale Dokument.	afin d'ouvrir et de contrôler votre document digital.	para abrir y comprobar el documento digital.	otevřít a zkontrolovat digitální dokument.	megnyitásához, és ellenőrizze a digitális dokumentum.	otworzyć i sprawdzić dokument cyfrowy.	otvoriť a skontrolovať digitálny dokument.	per aprire e controllare il documento digitale.
Omschrijving	Description	Umschreibung	Description	Descripción	Popis	Leírás	Opis	Popis	Descrizione
Omschrijving:	Description:	Umschreibung:	Description:	Descripción:	Popis:	Leírás:	Opis:	Popis:	Descrizione:
Omslag	Cover	Umschlag	Couverture	Cubrir	Kryt	Borítás	Pokrywa	Obal	Copertina
Onbekende pagina	Unknown page	Unbekannte Seite 	Page inconnu	La página de desconocido	neznámá stránka	ismeretlen oldal	Nieznany stronę	neznáma stránka	pagina Unknown
Ongeldig CreditCard nummer	Invalid CreditCard number	Ungültige Kreditkartennummer	Numéro de carte bancaire non valide	Número de tarjeta de crédito no válido	Neplatné číslo kreditní karty	Érvénytelen hitelkártyaszám	Nieprawidłowy numer karty kredytowej	Nesprávne číslo kreditnej karty	Numero di carta di credito non valido
Ongeldig e-mailadres.	Invalid e-mail address	E-Mail nicht richtig	Adresse email non-valable	No válida dirección de correo electrónico	Neplatná e-mailová adresa.	Érvénytelen e-mail cím.	Niewa?ny adres e-mail.	Neplatná emailová adresa	Indirizzo e-mail invalido.
Ongeldig faxnummer.	Invalid fax number.	Fax nicht richtig	N° de fax non-valable	número de fax válido.	Neplatné faxové číslo.	Érvénytelen faxszám.	Niewa?ny nr faksu.	Neplatné faxové ?íslo	Numero di fax invalido.
Ongeldig formaat	Invalid format	Ungültiges Format	Format non valide	Formato inválido	Neplatný formát	Érvénytelen formátum	Niepoprawny format	neplatný formát	Formato non valido
Ongeldig telefoonnummer.	Invalid phone number	Telefon nicht richtig	N° de tél non-valable	Numero de telefono invalido	Neplatné telefonní ?íslo.	Érvénytelen telefonszám.	Niewa?ny nr telefonu.	Neplatné telefónne ?íslo	Numero di telefono invalido.
Ongeldige bestandstype:	Unsupported filetype:	Nicht unterstützter Dateityp:	Type de fichier non valable	Tipo de archivo no soportado:	Nepodporovaný filetype:	Nem támogatott fájltípus:	Stosujesz filetype:	Nepodporovaný filetype:	Tipo di file non supportato:
Ongeldige karakters gevonden.	Invalid caracters found.	Ungültige Zeichen gefunden.	Caractères non-valables trouvés	caracters válida que se encuentre.	Byl nalezen neplatný caracters.	Érvénytelen karakter számára található.	Znaleziono nieprawidłowy caracters.	Bol nájdený neplatný caracters.	accentate non valido trovato.
Online	Online	PayPal	Online	En línea	Online	Online	Online	On-line	On-line
Onze server heeft u niet gevonden als geregistreerde gebruiker.	Our server didn't found you as registered user.	Unser Server hat Sie nicht als registrierten Benutzer finden können.	Notre serveur n'a pas pu vous reconnaître en tant qu'utilisateur enregistré	Nuestro servidor no le encuentra como usuario registrado.	Náš server tě nebyl nalezen jako registrovaný uživatel.	A szerver nem találtam meg, mint regisztrált felhasználó.	Nasz serwer nie znalazł się jako zarejestrowany użytkownik.	Náš server ťa nebol nájdený ako registrovaný užívateľ.	Il nostro server non ha trovato come utente registrato.
Onze server heeft u niet gevonden als geregistreerde gebruiker. U wordt nu aangemeld als gastgebruiker.	Our server didn't find you as a registered user. You can logon as a guest user.	Unsere Server hat sie nicht gefunden wie Registrierte Benutzer. Jetzt bist du eine Gäste.	Vous n'êtes pas configuré comme client. Vous serez connecté comme invité	Nuestro servidor no se encontró como un usuario registrado. Usted puede iniciar sesión como un usuario invitado.	Nebyl jste naším serverem nalezen jako registrovaný uživatel. Budete nyní p?ihlášeni jako host.	Nincs felhasználóként nyilvántartva rendszerünkben. Vendégfelhasználóként tud bejelentkezni.	Nasz serwer nie mo?e Ci? odnale?? jako zarejestrowanego u?ytkownika. Zostaniesz zg?oszony jako go??.	Náš server vás nenašiel ako registrovaného užívate?a. Budete prihlásený ako hos?ujúci užívate?.	Il nostro serve non è stato in grado di riconoscervi come utente registrato e verrete registrati in qualità di utente ospite.
Open de volgende URL	Please click on the following url	Bitte klicken Sie auf die folgende url	Veuillez cliquer l'url suivante	Por favor, haga clic en el siguiente enlace	Klikněte prosím na následující adresu URL	Kérjük, kattintson az alábbi URL-	Proszę kliknąć na poniższy URL	Kliknite prosím na nasledujúcu adresu URL	Cliccate sul seguente URL
Opgeslagen	Saved	Herstellen	Mémorisé	Salvado	uložen	Mentett	Zapisane	uložený	Salvato
Oplage	Run	Auflage	Quantité	correr	Vydání	Pédányszám	Biegać	Vydanie	Edizione
Oplage:	Run:	Auflage:	Quantité:	Correr:	Vydání:	Pédányszám:	Biegać:	Vydanie:	Edizione:
Oplagen:	Runs:	Auflagen:	Quantités:	Carreras:	Vydat:	Pédányok száma:	Działa:	Vydania:	Edizioni:
Opmerking:	Note:	Bemerkung:	Remarque:	Nota:	Poznámka:	Megjegyzés:	Uwaga:	Poznámka:	Osservazioni:
Order	Job	Auftrag	Job	Trabajo	Práce	Munka	Praca	zamestnania	Lavoro
Order status historie	Job status history	Auftrag Status Historie	Statut histoire de Job	la historia del estado del trabajo	Historie status Job	Job állapotelőzményeit	Historia stanu pracy	História status Job	la storia lo stato dei lavori
Orderdatum:	Job date:	Auftragsdatum:	Date job:	Fecha del trabajo:	Datum objednávky:	Megrendelési dátum:	Data zamówienia:	Dátum objednávky:	Data dell'ordine:
Ordernr.	Job nr.	Auftragsnr.	N°job	Nr trabajo.	Job nr.	Megrendelési sz.	Nr zamówienia	Job nr.	Nr. ordine
Ordernr.:	Job nr.:	Auftragnr.	N° de job:	Nr. trabajo:	Job nr .:	Megrendelési sz.:	Nr zamówienia:	Job nr.:	Nr. ordine:
Ordernummer:	Job number:	Auftragsnummer:	N°job:	Numero trabajo:	Číslo úlohy:	Megrendelési szám:	Numer zamówienia:	Číslo úlohy:	Numero dell'ordine:
Orders	Jobs 	Aufträge	Jobs	Trabajos	Objednávky	Megrendelések	Zamówienia	Objednávky	Ordini
Overige	Others	Andere	Autre	Otros	jiní	Egyéb	Pozostałe	iní	Altri
Overzicht offertes	List quotations	Übersicht Angebote	Résumé des calculs	Lista de citas	P?ehled nabídek	Árajánlatok áttekintése	Wykaz ofert	Preh?ad ponúk	Resoconto offerte
pagina's omslag	pages cover	Seiten Umschlag	Pages couverture	páginas cubren	titulní stránky	oldalak borítólapja	okładek	Vrchné stránky	copertina delle pagine
Pagina's:	Pages:	Seiten:	Pages:	páginas:	Stránky:	Oldalak:	Strony:	Stránky:	Pagine:
Paginaproef	Pageproof	Seite Probe	Epreuves en ligne	Pageproof	Pageproof	Pageproof	Pageproof	Pageproof	Pageproof
PDF	PDF	PDF	PDF	PDF	PDF	PDF	PDF	PDF	PDF
PDF bestand	PDF file	PDF-Datei	Fichier PDF	Archivo PDF	PDF soubor	PDF fájl	plik PDF	PDF súbor	file PDF
PDF Template:	PDF Template:	PDF Template:	PDF Template:	Plantilla PDF:	Šablona PDF:	PDF Sablon:	Szablon w formacie PDF:	Šablóna PDF:	PDF Template:
Per	per	pro	par	por	Na	 	Na	Po	Per
Persoonsgegevens:	Personal files:	Personliche daten	Données personnelles	archivos personales:	Osobní údaje:	Személyi adatok:	Dane osobowe:	Osobné údaje:	Dati personali:
Afbeelding:	Picture:	Abbildung:	Image:	Imagen:	Obrázek:	Kép:	Obrazek:	obrázok:	Immagine:
Plaats:	City:	Ort:	Lieu:	Ciudad:	Město:	Helység:	Miasto:	Mesto:	Località:
Post adres:	Postal address:	Postadresse:	adresse postal	Direccion postal:	Poštovní adresa:	Postai cím:	Adres pocztowy:	Poštová adresa:	Indirizzo postale:
Postcode en Plaats:	Zipcode and City:	Postleitzahl und Ort:	Code postal et lieu	Código postal y ciudad:	PS? a m?sto:	Irányítószám és helység:	Kod pocztowy i miejscowo??:	PS? a miesto:	Codice postale e località:
Postcode:	Zipcode:	Postleitzahl:	Code postal:	Código postal:	PSČ:	Irányítószám:	Kod pocztowy:	PS?:	Codice postale:
Prijs	Price	Preis	Prix	Precio	Cena	Ár	Cena	Cena	Prezzo
Prijs:	Price:	Preis:	Prix:	Precio:	Cena:	Ár:	Cena:	Cena:	Prezzo:
Prijsafspraken	Price arrangements	Preisabsprachen	Prix convenus	régimen de precios	Cenové dohody	Ármegállapodások	Uzgodnienia cenowe	Ur?ovanie cien	Accordi di prezzo
Privé adres:	Private address:	Privatadresse:	Adresse privé:	Dirección privada:	Soukromá adresa:	Lakáscím:	Adres prywatny:	Súkromná adresa:	Indirizzo provato:
Privé plaats:	Private city:	Privatort:	Lieu privé:	ciudad privada:	M?sto:	Lakhely:	Miejscowo?? prywatna:	Súkromné miesto:	Località privata:
Privé postcode:	Private zipcode:	Privat Postleitzahl:	Code postal privé:	código postal privado:	Soukromé PSČ:	Irányítószám:	Kod pocztowy prywatny:	Súkromné ​​PSČ:	Codice postale privato:
Privé telefoon:	Private phone:	privat Telefon:	Téléphone privé:	teléfono privado:	Telefon:	Magán telefonszám:	Telefon prywatny:	Súkromný telefón:	Numero di telefono privato:
Product	Product	Produkt	Produit	Producto	Produkt	Termék	Produkt	produkt	Prodotto
Product heeft bedrukking aan de rand	Product has elements at the border	Produkt ist randabfallend	Produit imprimer jusqu'au bord	El producto tiene elementos en la frontera	Výrobek má prvky na hranicích	A terméket elemek a határon	Produkt posiada elementy na granicy	Výrobok má prvky na hraniciach	Il prodotto ha elementi alla frontiera
Product:	Product:	Produkt:	Produit	Producto:	Produkt:	Termék:	Produkt:	Produkt:	Prodotto:
Producten	Products	Produkte	Produits	productos	produkty	Termékek	Produkty	Produkty	Prodotti
Productiemethode:	Production method:	Produktionsart:	Méthode de production:	Método de producción:	Výrobní metoda:	Előállítási mód:	Metoda produkcji:	Výrobná metóda:	Metodo di produzione:
Productsoort	Product type	Produktsorte	Genre de produit	Tipo de producto	Typ produktu	Terméktípus	Rodzaj produktu	Druh produktu	Tipo di prodotto
Productsoort:	Product type:	Produktsorte:	Genre produit:	Tipo de producto:	Typ produktu:	Terméktípus:	Rodzaj produktu:	Druh produktu:	Tipo di prodotto:
Proef	Proof	Muster	Épreuve	Prueba	Důkaz	Bizonyíték	Dowód	dôkaz	Prova
Rapport	Report	Bescheinigung	Signaler	Informe	Zpráva	Jelentés	Raport	správa	rapporto
Rapport is nog niet klaar. Probeer het later nog eens.	Report is not ready yet. Please try again later.	Bericht ist noch nicht bereit. Bitte versuchen Sie es später noch einmal.	Rapport n'est pas encore prêt. Please try again later.	Informe todavía no está listo. Por favor, inténtelo de nuevo más tarde.	Zpráva ještě není připraven. Prosím zkuste to znovu později.	Report még nincs kész. Kérlek, próbáld újra később.	Raport nie jest jeszcze gotowy. Spróbuj ponownie później.	Správa ešte nie je pripravený. Skúste neskôr prosím.	Rapporto non è ancora pronto. Per favore riprova più tardi.
Rapporten	Reports	Bericht	Rapport	Informes	zprávy	jelentések	Raporty	správy	Rapporti
record(s)	records	datei(n)	enregistrements	archivos	evidence	nyilvántartás	dokumentacja	záznamy	record
Referentie	Reference	Referenz	Référence	Referencia	Reference	Hivatkozás	Referencje	Referencie	Riferimento
Referentie:	Reference:	Referenz:	Référence:	Referencia:	Reference:	Hivatkozás:	Referencje:	Referencie:	Riferimento:
Rekening	Account	Rechnung	Compte	Cuenta	Účet	Számla	Rachunek	účet	Conto
Rembours	Cash on delivery	Nachnahme	Rembours	Los envíos contra reembolso	Náhrada	Utánvétel	Płatność gotówką przy odbiorze	Náhrada	Contrassegno
Resolutie's:	Resolution:	Bildqualität:	Résolutions:	Resolución:	Rozlišení:	Felbontás:	Rozkład:	Rozlíšenie:	Risoluzioni:
Selecteer	Select	Wählen	Selectionner	Seleccionar	Vyberte	Választás	Wybierz	Vyber	Seleziona
Selecteer uw bestand welke gedrukt moet worden.	Select your file which should be printed.	Wählen Sie die Datei die gedruckt werden soll	Selectionner votre fichier à imprimer	Seleccione el archivo que debe ser impreso.	Vyberte soubor, který se má vytisknout.	Válassza ki, hogy melyik dokumentumot szeretné kinyomtatni.	Wybierz plik, który ma by? u?yty.	Vyberte súbor, ktorý sa má vytla?i?.	Selezionare il documento da stampare.
Sommige afbeeldingen hebben een lage kwaliteit	Some pictures have a low quality	Einige Bilder haben eine niedrige Qualität	Certaines images sont de qualité bas	Algunas imágenes tienen una calidad baja	N?které obrázky mají nízkou kvalitu	Egyes képek min?sége gyenge.	Niektóre ilustracje maj? nisk? rozdzielczo??	Niektoré obrázky majú nízku kvalitu	Alcune immagini presentano una bassa qualità
Sommige lettertype's zijn niet of deels aanwezig	Some fonts are not or partially available	Nicht alle Schriftarten sind eingebettet	Certaines polices manque	Algunas fuentes no están disponibles o parcialmente	N?které fonty nejsou k dispozici nebo pouze ?áste?n?	Egyes bet?típusok nem vagy csak részben állnak rendelkezésre	Niektóre czcionki nie s? dost?pne lub tylko cz??ciowo	Niektoré typy písma nie sú ?iasto?ne alebo úplne dostupné	Alcuni caratteri presentano una bassa qualità
Soort:	Type:	Art:	Genre:	Tipo:	Typ:	Típus:	Rodzaj:	Druh:	Tipo:
Staand	Landscape	Hochformat	Debout	Paisaje	Krajina	Tájkép	Krajobraz	krajina	Paesaggio
Standaard	Default	Standard	Standard	Defecto	standardní	Alapértelmezett	Zaniedbanie	štandardné	Predefinito
Standaard berekeningen	Standard quotations	Standardberechnungen	Calculs standards	citas estándar	standardní citáty	Szabványos kiszámítások	Obliczenia standardowe	Štandardné výpo?ty	Calcoli standard
Status	Status	Status	Statut	Estado	Stav	Státusz	Status	Stav	Stato
Status:	Status:	Status:	Statut:	Estado:	Stav:	Státusz:	Status:	Stav:	Stato:
Telefoon:	Phone:	Telefon:	Téléphone:	Teléfono:	Telefon:	Telefonszám:	Telefon:	Telefón:	Telefono:
Terug	Back	Zurück	Retourne	Espalda	Zadní	Vissza	Cofnij	späť	Indietro
Tijd	Time	Zeit	Temps	Hora	Čas	Idő	Czas	čas	Tempo
Toon	Show	Zeigen	Visualiser	Espectáculo	Zobrazit	Tónus	Pokazać	Zobraz	Tono
Totaal	Total	Total	Total	Total	Celkový	Teljes	Całkowity	celkom	Totale
U bent op een onbekende pagina gekomen. Klik onder op "index" om opnieuw aan te melden.	You tried to open an unknown page. Click "index" to logging in again.	Sie haben versucht, eine unbekannte Seite zu öffnen. Klicken Sie auf "Index" um weiter zu gehen.	Vous avez essayé d'ouvrir une page inconnue. Cliquez sur "Retour menu princip	Ha intentado abrir una página desconocida. Haga clic en "índice" para acceder de nuevo.	Pokusili jste se otevřít neznámou stránku. Klikněte na "index", aby znovu se přihlásit.	Megpróbálta kinyitni egy ismeretlen oldalon. Kattintson a "index", hogy újra bejelentkezni.	Próbowano otworzyć nieznaną stronę. Kliknij "index", aby zalogować się ponownie.	Pokúsili ste sa otvoriť neznámou stránku. Kliknite na "index", aby znovu sa prihlásiť.	Si è tentato di aprire una pagina sconosciuta. Fai clic su "indice" per accedere di nuovo.
U dient een bestand te kiezen	You must choose a file	Sie müssen eine Datei	Choisissez un fichier	Debe elegir un archivo	Musíte vybrat soubor	Válasszon egy dokumentumot	Wybierz plik	Musíte vybra? súbor	Siete pregati di selezionare un documento
U dient een groep in te geven	You must enter a group	Sie müssen eine gruppe anwenden	Il faut remplir un groupe	Debe introducir un grupo	Je nutné zadat skupinu	Meg kell adnia egy csoportot	Musisz podać grupę	Je nutné zadať skupinu	È necessario inserire un gruppo
U dient een item  te kiezen	You must choose an item	Sie müssen eine Item wahlen	Choisissez un objet	Usted debe elegir un elemento	Musíte vybrat položku	Válasszon egy tételt	Wybierz element	Musíte vybra? položku	Siete pregati di selezionare un articolo
U dient een materiaal in te geven	You must enter a material	Sie sollten dazu ein Material eingaben	Il faut mettre un material	Debe introducir un material	Musíte zadat materiál	Adjon meg egy anyagot	Podaj materia?	Musíte zada? materiál	Siete pregati di indicare un materiale
U dient een omschrijving in te geven	You must enter a description	Sie müssen eine Umschreibung eingeben	Remplissez une description	Debe introducir una descripción	Musíte zadat popis	Adjon meg egy leírást	Podaj opis	Musíte zada? popis	Siete pregati di indicare una descrizione
U dient een omschrijving te kiezen	You must choose a description	Sie müssen eine Umschreibung wahlen	Choisissez une description	Debe elegir una descripción	Musíte vybrat popis	Válasszon egy leírást	Wybierz opis	Musíte vybra? popis	Siete pregati di selezionare una descrizione
U dient een oplage in te geven	You must enter a number of runs	Sie müssen eine Auflage eingeben	Remplissez une quantité	Debe ingresar un número de carreras	Musíte zadat vydání	Adjon meg egy példányszámot	Podaj nak?ad	Musíte zada? náklad	Siete pregati di indicare un'edizione
U dient een product in te geven	You must enter a producttype	Sie sollten dazu ein Produkt eingeben	Il faut mettre un produit	Debe introducir una Producttype	Musíte zadat produkt	Adjon meg egy terméket	Podaj produkt	Musíte zada? produkt	Siete pregati di indicare un prodotto
U dient een soort  te kiezen	You must choose a type	Sie mussen eine sorte wahlen	Choisissez une type	Usted debe elegir un tipo de	Musíte vybrat typ	Válasszon egy típust	Wybierz rodzaj	Musíte vybra? druh	Siete pregati di selezionare un tipo
U komt onder de minimale voorraad!	You can below the minimum stock!	Sie kommen unter die niedrichste Vorrat!	Quantité trop faible	Puede por debajo del mínimo de stock!	Dostali jste se pod minimální zásoby!	Ez a minimális raktárkészlet alá esik!	Jest to poni?ej minimalnego zapasu!	Ste pod minimálnou zásobou!	Non è stata raggiunta la quantità magazzino minima!
U mag maximaal	You can order at most	Sie mochte Maximal	Vous devrez maximal	Es posible comprar el máximo	Můžete si objednat nanejvýš	Lehetséges maximális mennyiség:	Można zamówić co najwyżej	Môžete maximálne	Massimo consentito
U moet minimaal	You must order at least	Sie muss Minimal	Vous devrez minimal	Usted debe pedir al menos	Je nutné objednat minimálně	Lehetséges minimális mennyiség:	Musisz minimalnie	Musíte minimálne	Minimo consentito
Uploaden	Upload	Upload	Upload	Subir	Uploadovat	Feltöltés	Przekazać plik	nahrať	Carica
Uw gebruikersnaam en (nieuw) wachtwoord is verzonden naar:	Your username and (new) password is submitted to:	Ihr Benutzername und (neues) Passwort wird übertragen:	Votre identifiant et (nouveau) mot de passe ont été envoyés à:	Su nombre de usuario y la (nueva) contraseña son enviadas a:	Vaše uživatelské jméno a (nové) heslo je předložen:	A felhasználónevét és (új) jelszó be:	Twoja nazwa użytkownika i (nowy) hasło zostanie przedstawiony:	Vaše užívateľské meno a (nové) heslo je predložený:	Il tuo nome utente e la (nuova) password vengono inviate a:
